id,model,topic,dataset,english_proficiency,start_time,end_time,relevance,acceptability,difficulty,choices,confidence,question,user
157,flan-t5-large-multiqad-400k,computer science,wikipedia-10T,0,2023-02-16T13:02:44.991673Z,2023-02-16T13:07:19.397557Z,7,True,0,8,6,469,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
158,flan-t5-large-multiqad-400k,music,wikipedia-10T,2,2023-02-16T13:06:12.915074Z,2023-02-16T13:10:49.568754Z,4,False,6,3,1,398,aca0b2ce-8417-458b-b710-79f69eaca69e
159,flan-t5-large-multimcq-1M,music,wikipedia-10T,2,2023-02-16T13:10:50.403080Z,2023-02-16T13:11:49.419016Z,5,True,2,4,1,498,aca0b2ce-8417-458b-b710-79f69eaca69e
160,text-davinci-003-gpt-3,music,wikipedia-10T,2,2023-02-16T13:11:50.219188Z,2023-02-16T13:12:10.456308Z,4,True,2,4,1,698,aca0b2ce-8417-458b-b710-79f69eaca69e
161,ft-babbage-multiqad-400k-gpt-3,music,wikipedia-10T,2,2023-02-16T13:12:10.963325Z,2023-02-16T13:13:23.690482Z,4,False,2,3,1,843,aca0b2ce-8417-458b-b710-79f69eaca69e
162,flan-t5-large-multimcq-1M,computer science,wikipedia-10T,0,2023-02-16T13:07:20.096519Z,2023-02-16T13:13:40.878406Z,7,True,0,6,6,569,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
163,t5-small-squad-race,music,wikipedia-10T,2,2023-02-16T13:13:24.219844Z,2023-02-16T13:14:25.322390Z,4,True,1,5,1,298,aca0b2ce-8417-458b-b710-79f69eaca69e
164,text-davinci-003-gpt-3,computer science,wikipedia-10T,0,2023-02-16T13:13:41.524286Z,2023-02-16T13:15:11.935844Z,6,True,0,7,6,769,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
165,flan-t5-large-multiqad-400k,music,wikipedia-10T,2,2023-02-16T13:14:25.841170Z,2023-02-16T13:16:17.581105Z,4,True,3,3,1,399,aca0b2ce-8417-458b-b710-79f69eaca69e
166,flan-t5-large-multimcq-1M,music,wikipedia-10T,2,2023-02-16T13:16:18.132555Z,2023-02-16T13:17:09.274607Z,3,False,5,4,1,499,aca0b2ce-8417-458b-b710-79f69eaca69e
167,ft-babbage-multiqad-400k-gpt-3,computer science,wikipedia-10T,0,2023-02-16T13:15:13.681905Z,2023-02-16T13:17:13.464717Z,7,True,0,7,6,1015,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
168,text-davinci-003-gpt-3,music,wikipedia-10T,2,2023-02-16T13:17:09.923206Z,2023-02-16T13:17:36.114643Z,4,False,2,4,1,699,aca0b2ce-8417-458b-b710-79f69eaca69e
169,ft-babbage-multiqad-400k-gpt-3,music,wikipedia-10T,2,2023-02-16T13:17:36.663049Z,2023-02-16T13:18:23.416282Z,3,True,5,5,1,844,aca0b2ce-8417-458b-b710-79f69eaca69e
170,t5-small-squad-race,computer science,wikipedia-10T,0,2023-02-16T13:17:14.472133Z,2023-02-16T13:18:25.106351Z,2,True,0,7,6,369,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
171,t5-small-squad-race,music,wikipedia-10T,2,2023-02-16T13:18:23.942351Z,2023-02-16T13:18:58.909723Z,5,True,2,6,1,299,aca0b2ce-8417-458b-b710-79f69eaca69e
172,flan-t5-large-multiqad-400k,computer science,wikipedia-10T,0,2023-02-16T13:18:25.747259Z,2023-02-16T13:19:47.562281Z,8,True,0,8,6,470,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
173,flan-t5-large-multimcq-1M,computer science,wikipedia-10T,0,2023-02-16T13:19:48.223694Z,2023-02-16T13:21:11.879804Z,6,True,0,8,6,570,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
174,text-davinci-003-gpt-3,computer science,wikipedia-10T,0,2023-02-16T13:21:12.549806Z,2023-02-16T13:22:11.999922Z,7,True,0,8,6,770,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
175,ft-babbage-multiqad-400k-gpt-3,computer science,wikipedia-10T,0,2023-02-16T13:22:12.691151Z,2023-02-16T13:24:13.020385Z,6,True,0,8,6,1016,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
177,t5-small-squad-race,computer science,wikipedia-10T,0,2023-02-16T13:32:53.063402Z,2023-02-16T13:40:22.905735Z,6,False,8,8,6,371,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
178,flan-t5-large-multiqad-400k,computer science,wikipedia-10T,0,2023-02-16T13:40:23.619871Z,2023-02-16T13:41:16.004604Z,6,False,8,8,6,471,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
179,flan-t5-large-multimcq-1M,computer science,wikipedia-10T,0,2023-02-16T13:41:16.689829Z,2023-02-16T13:41:54.939538Z,8,True,2,8,6,571,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
180,text-davinci-003-gpt-3,computer science,wikipedia-10T,0,2023-02-16T13:41:55.598044Z,2023-02-16T13:42:50.186585Z,8,True,2,8,6,771,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
181,ft-babbage-multiqad-400k-gpt-3,computer science,wikipedia-10T,0,2023-02-16T13:42:51.033276Z,2023-02-16T13:44:28.445256Z,6,True,6,8,6,1017,03926a29-3c88-45f9-b1b5-a7b5c0f45d37
182,flan-t5-large-multiqad-400k,entertainment,wikipedia-10T,2,2023-02-16T13:56:38.846268Z,2023-02-16T13:56:44.967468Z,8,True,8,8,8,418,7cf14b74-1d7d-420b-8c8c-3ab2ac8accb9
183,flan-t5-large-multimcq-1M,entertainment,wikipedia-10T,2,2023-02-16T13:56:45.511716Z,2023-02-16T13:59:17.922830Z,8,True,8,8,8,518,7cf14b74-1d7d-420b-8c8c-3ab2ac8accb9
184,ft-babbage-multiqad-400k-gpt-3,music,wikipedia-10T,1,2023-02-16T13:59:14.710256Z,2023-02-16T13:59:57.752389Z,3,True,2,2,4,845,2aacc039-238d-4cd5-bb3e-47250afd36f5
185,text-davinci-003-gpt-3,music,wikipedia-10T,1,2023-02-16T13:59:58.411344Z,2023-02-16T14:02:00.486489Z,2,True,1,0,4,700,2aacc039-238d-4cd5-bb3e-47250afd36f5
186,text-davinci-003-gpt-3,entertainment,wikipedia-10T,2,2023-02-16T13:59:18.511731Z,2023-02-16T14:02:23.367042Z,8,True,1,6,8,718,7cf14b74-1d7d-420b-8c8c-3ab2ac8accb9
187,ft-babbage-multiqad-400k-gpt-3,entertainment,wikipedia-10T,2,2023-02-16T14:02:23.913967Z,2023-02-16T14:03:32.769920Z,8,False,2,6,8,863,7cf14b74-1d7d-420b-8c8c-3ab2ac8accb9
188,t5-small-squad-race,entertainment,wikipedia-10T,2,2023-02-16T14:03:33.326308Z,2023-02-16T14:04:06.561516Z,6,True,2,6,8,318,7cf14b74-1d7d-420b-8c8c-3ab2ac8accb9
189,flan-t5-large-multimcq-1M,music,wikipedia-10T,1,2023-02-16T14:02:01.077784Z,2023-02-16T14:05:13.955408Z,5,True,0,0,4,500,2aacc039-238d-4cd5-bb3e-47250afd36f5
190,flan-t5-large-multiqad-400k,entertainment,wikipedia-10T,2,2023-02-16T14:04:07.093546Z,2023-02-16T14:06:11.084746Z,6,True,0,6,1,419,7cf14b74-1d7d-420b-8c8c-3ab2ac8accb9
191,flan-t5-large-multimcq-1M,entertainment,wikipedia-10T,2,2023-02-16T14:06:11.644417Z,2023-02-16T14:06:30.635574Z,7,True,0,6,1,519,7cf14b74-1d7d-420b-8c8c-3ab2ac8accb9
192,flan-t5-large-multiqad-400k,music,wikipedia-10T,1,2023-02-16T14:05:14.528047Z,2023-02-16T14:06:43.962224Z,2,False,0,5,4,400,2aacc039-238d-4cd5-bb3e-47250afd36f5
193,t5-small-squad-race,music,wikipedia-10T,1,2023-02-16T14:07:54.630286Z,2023-02-16T14:08:16.692009Z,4,True,0,0,4,300,2aacc039-238d-4cd5-bb3e-47250afd36f5
194,t5-small-squad-race,music,wikipedia-10T,1,2023-02-16T14:08:17.240285Z,2023-02-16T14:11:01.400890Z,6,True,2,0,6,301,2aacc039-238d-4cd5-bb3e-47250afd36f5
195,flan-t5-large-multiqad-400k,music,wikipedia-10T,1,2023-02-16T14:12:33.167794Z,2023-02-16T14:12:47.971274Z,6,True,2,2,6,401,2aacc039-238d-4cd5-bb3e-47250afd36f5
